x	y	kxx	kxy	kyy
829.483	658.065	0.00704954	0.000166896	0.00426194
962.989	657.947	0.00726913	0.000568574	0.00464794
539.595	759.166	0.00578547	-0.000426055	0.00421872
685.296	762.839	0.00569618	-9.3078e-05	0.00396138
834.356	763.853	0.00564759	6.76451e-05	0.0041228
980.426	762.239	0.00581842	0.000362191	0.00424168
516.456	880.877	0.00481893	-0.000331696	0.00387659
675.488	887.719	0.00497464	-0.000127977	0.00386257
839.018	889.176	0.00475551	5.06554e-05	0.00372979
998.76	885.31	0.00488407	0.000290707	0.00396164
546.316	138.559	0.00554344	0.000407847	0.00584415
671.759	127.583	0.0052495	0.000254749	0.00532821
804.741	120.866	0.00521883	7.99287e-05	0.00519084
941.387	119.335	0.00540729	-6.65507e-05	0.0052663
566.346	254.567	0.00584313	0.000493639	0.00582823
686.955	248.035	0.00564018	0.000285517	0.00537995
814.207	244.55	0.00558511	0.000106425	0.00533091
944.5	244.49	0.00564292	6.85244e-05	0.00512451
585.74	362.899	0.00646637	0.000643718	0.00584999
700.9	360.146	0.00621764	0.000358447	0.0056353
821.765	359.329	0.00635745	3.13069e-05	0.00581986
945.275	360.58	0.00639731	-1.10623e-05	0.00538099
596.894	204.036	0.00524108	0.000979559	0.0076135
694.482	228.523	0.0058153	0.00145685	0.00981248
776.216	250.874	0.00648052	0.00178702	0.0124617
844.693	270.881	0.0070774	0.00199519	0.0162048
592.717	343.261	0.00433872	0.000450663	0.00703673
692.342	356.326	0.00487882	0.000700443	0.00911506
775.321	368.321	0.00532616	0.000862376	0.0112345
844.623	379.159	0.00597264	0.00106899	0.0143843
590.237	488.301	0.0042335	-0.000134584	0.00710975
690.398	488.644	0.00457574	-0.000145036	0.00884529
773.834	489.252	0.00469887	-0.000218587	0.0112343
843.389	490.146	0.00529401	-0.000211712	0.0137136
263.378	96.883	0.00521037	-0.000217551	0.00507657
401.573	113.363	0.00491553	-0.000380006	0.00527105
527.478	132.983	0.00522063	-0.000538138	0.00573782
639.101	154.088	0.00574943	-0.000925824	0.00670763
232.183	237.41	0.00521346	-0.000283524	0.00495062
365.333	245.412	0.00540357	-0.000593405	0.005233
487.888	255.889	0.00554498	-0.000730085	0.0059278
597.777	267.865	0.00614886	-0.00110045	0.00634185
209.815	367.504	0.00590105	-0.00041752	0.00498364
336.254	368.484	0.00603871	-0.000627481	0.0055029
453.967	371.314	0.00609708	-0.000855457	0.00602889
560.825	375.446	0.00665344	-0.00139482	0.00695116
887.515	134.277	0.00632812	0.00137591	0.00766704
985.317	116.216	0.00564141	0.00100955	0.00665269
1097.98	98.6646	0.00546818	0.000631709	0.00629797
1225.7	83.1557	0.00567681	0.000232314	0.00610328
933.434	241.57	0.00662235	0.00168852	0.00786316
1030.61	233.633	0.00648848	0.00145315	0.00719697
1141.31	226.96	0.00617983	0.000867305	0.00609174
1265.14	222.651	0.00592279	0.000474175	0.00590458
973.991	343.602	0.00742445	0.00213028	0.00808273
1069.11	344.317	0.00716926	0.00174819	0.00741732
1176.04	346.804	0.00649967	0.00102666	0.00653287
1294.05	351.63	0.00674974	0.000714144	0.00598389
910.181	600.468	0.00670113	-0.000651289	0.00529663
1021.88	615.437	0.00643638	-0.000413528	0.00517181
1138.94	631.149	0.00647122	-0.00018381	0.00512728
1258.09	647.278	0.00632406	0.000104814	0.00513399
873.68	701.784	0.00604738	-0.000639621	0.00546033
990.361	722.07	0.00565297	-0.000343986	0.0049411
1113.52	742.472	0.00538267	-0.000188462	0.00488631
1239.52	762.231	0.00550382	7.97038e-05	0.00494144
832.076	812.069	0.00539882	-0.000443057	0.00509391
952.707	838.778	0.00513116	-0.000370285	0.00474888
1081.2	864.75	0.00491328	-0.000130275	0.00461426
1213.42	888.734	0.00503546	2.14982e-05	0.00488189
166.482	615.067	0.00570004	-6.01468e-05	0.00438934
